,Price,PredictedPrice,MAE,MSE,RMSE
1,1035000.0,1158735.556125475,303518.91518392804,216930341137.52878,465757.81382337405
4,1600000.0,1030253.8330015345,303518.91518392804,216930341137.52878,465757.81382337405
12,750000.0,776785.9871904235,303518.91518392804,216930341137.52878,465757.81382337405
24,1100000.0,1029219.7642385811,303518.91518392804,216930341137.52878,465757.81382337405
25,1315000.0,1168483.9748403877,303518.91518392804,216930341137.52878,465757.81382337405
32,1290000.0,1170649.3180382717,303518.91518392804,216930341137.52878,465757.81382337405
34,1180000.0,1179672.9581649434,303518.91518392804,216930341137.52878,465757.81382337405
44,500000.0,230147.1944936104,303518.91518392804,216930341137.52878,465757.81382337405
56,700000.0,863361.4345108923,303518.91518392804,216930341137.52878,465757.81382337405
63,773000.0,1844219.9179298338,303518.91518392804,216930341137.52878,465757.81382337405
69,685000.0,804848.5527972654,303518.91518392804,216930341137.52878,465757.81382337405
78,1275000.0,1188231.4057950247,303518.91518392804,216930341137.52878,465757.81382337405
80,2850000.0,1810094.1042742832,303518.91518392804,216930341137.52878,465757.81382337405
81,1850000.0,1680950.8985820627,303518.91518392804,216930341137.52878,465757.81382337405
87,1800000.0,1244562.8241927065,303518.91518392804,216930341137.52878,465757.81382337405
88,2120000.0,1279619.8246799326,303518.91518392804,216930341137.52878,465757.81382337405
98,1322500.0,1263341.099161541,303518.91518392804,216930341137.52878,465757.81382337405
102,3010000.0,1704383.3781923437,303518.91518392804,216930341137.52878,465757.81382337405
106,2000000.0,1501663.8179911273,303518.91518392804,216930341137.52878,465757.81382337405
113,2140000.0,1914454.1843304532,303518.91518392804,216930341137.52878,465757.81382337405
126,805000.0,949502.5981199509,303518.91518392804,216930341137.52878,465757.81382337405
141,520000.0,1022069.007207944,303518.91518392804,216930341137.52878,465757.81382337405
146,1780000.0,1860544.4365060162,303518.91518392804,216930341137.52878,465757.81382337405
149,660000.0,869674.5493980795,303518.91518392804,216930341137.52878,465757.81382337405
